"Title","Output per Worker: Whole Economy SA: Index 2023=100: UK","Output per Worker: Whole Economy: % change per annum SA: UK","Output per Worker: Whole Economy: % change quarter on previous quarter SA: UK","Whole Economy index of LFS Employment: SA % change on Q","Whole Economy index of LFS Employment: SA % change on Y","Output per job: Ag, forestry and fishing A SIC07, 2023=100, SA, UK","Output per job: Ag, forestry and fishing A SIC07, % change on Y, SA, UK","Output per job: Production B-E SIC07, 2023=100, SA, UK","Output per job: Production B-E SIC07, % change on Q, SA, UK","Output per job: Production B-E SIC07, % change on Y, SA, UK","Output per job: Manufacturing C SIC07, 2023=100, SA, UK","Output per job: Manufacturing C SIC07, % change on Q, SA, UK","Output per job: Manufacturing C SIC07, % change on Y, SA, UK","Output per job: Construction F SIC07, 2023=100, SA, UK","Output per job: Construction F SIC07, % change on Y, SA, UK","Output per job: Wholesale & retail services G SIC07, 2023=100, SA, UK","Output per job: Wholesale & retail services G SIC07, % change on Q, SA, UK","Output per job: Wholesale & retail services G SIC07, % change on Y, SA, UK","Output per job: Transport & storage services H SIC07, 2023=100, SA, UK","Output per job: Transport & storage services H SIC07, % change on Q, SA, UK","Output per job: Transport & storage services H SIC07, % change on Y, SA, UK","Output per job: Acco and food services I SIC07, 2023=100, SA, UK","Output per job: Acco and food services I SIC07, % change on Q, SA, UK","Output per job: Acco and food services I SIC07, % change on Y, SA, UK","Output per job: Info & comms services J SIC07, 2023=100, SA, UK","Output per job: Info & comms services J SIC07, % change on Q, SA, UK","Output per job: Info & comms services J SIC07, % change on Y, SA, UK","Output per job: Finance & insurance services K SIC07, 2023=100, SA, UK","Output per job: Finance & insurance services K SIC07, % change on Q, SA, UK","Output per job: Finance & insurance services K SIC07, % change on Y, SA, UK","Output per job: Professional services M SIC07, 2023=100, SA, UK","Output per job: Professional services M SIC07, % change on Q, SA, UK","Output per job: Professional services M SIC07, % change on Y, SA, UK","Output per job: Admin & support services N SIC07, 2023=100, SA, UK","Output per job: Admin & support services N SIC07, % change on Q, SA, UK","Output per job: Admin & support services N SIC07, % change on Y, SA, UK","Output per job: Government services O-Q SIC07, 2023=100, SA, UK","Output per job: Government services O-Q SIC07, % change on Q, SA, UK","Output per job: Government services O-Q SIC07, % change on Y, SA, UK","Output per job: Arts, ent & recreation serv R SIC07, 2023=100, SA, UK","Output per job: Arts, ent & recreation serv R SIC07, % change on Q, SA, UK","Output per job: Arts, ent & recreation serv R SIC07, % change on Y, SA, UK","Output per job: Other services S SIC07, 2023=100, SA, UK","Output per job: Other services S SIC07, % change on Q, SA, UK","Output per job: Other services S SIC07, % change on Y, SA, UK","Output per hour: Ag, forestry and fishing A SIC07, 2023=100, SA, UK","Output per hour: Ag, forestry and fishing A SIC07, % change on Y, SA, UK","Output per hour: Production B-E SIC07, 2023=100, SA, UK","Output per hour: Production B-E SIC07, % change on Q, SA, UK","Output per hour: Production B-E SIC07, % change on Y, SA, UK","Output per hour: Manufacturing C SIC07, 2023=100, SA, UK","Output per hour: Manufacturing C SIC07, % change on Q, SA, UK","Output per hour: Manufacturing C SIC07, % change on Y, SA, UK","Output per hour: Construction F SIC07, 2023=100, SA, UK","Output per hour: Construction F SIC07, % change on Y, SA, UK","Output per hour: Wholesale & retail services G SIC07, 2023=100, SA, UK","Output per hour: Wholesale & retail services G SIC07, % change on Q, SA, UK","Output per hour: Wholesale & retail services G SIC07, % change on Y, SA, UK","Output per hour: Transport & storage services H SIC07, 2023=100, SA, UK","Output per hour: Transport & storage services H SIC07, % change on Q, SA, UK","Output per hour: Transport & storage services H SIC07, % change on Y, SA, UK","Output per hour: Acco and food services I SIC07, 2023=100, SA, UK","Output per hour: Acco and food services I SIC07, % change on Q, SA, UK","Output per hour: Acco and food services I SIC07, % change on Y, SA, UK","Output per hour: Info & comms services J SIC07, 2023=100, SA, UK","Output per hour: Info & comms services J SIC07, % change on Q, SA, UK","Output per hour: Info & comms services J SIC07, % change on Y, SA, UK","Output per hour: Finance & insurance services K SIC07, 2023=100, SA, UK","Output per hour: Finance & insurance services K SIC07, % change on Q, SA, UK","Output per hour: Finance & insurance services K SIC07, % change on Y, SA, UK","Output per hour: Professional services M SIC07, 2023=100, SA, UK","Output per hour: Professional services M SIC07, % change on Q, SA, UK","Output per hour: Professional services M SIC07, % change on Y, SA, UK","Output per hour: Admin & support services N SIC07, 2023=100, SA, UK","Output per hour: Admin & support services N SIC07, % change on Q, SA, UK","Output per hour: Admin & support services N SIC07, % change on Y, SA, UK","Output per hour: Government services O-Q SIC07, 2023=100, SA, UK","Output per hour: Government services O-Q SIC07, % change on Q, SA, UK","Output per hour: Government services O-Q SIC07, % change on Y, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, 2023=100, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, % change on Q, SA, UK","Output per hour: Arts, ent & recreation serv R SIC07, % change on Y, SA, UK","Output per hour: Other services S SIC07, 2023=100, SA, UK","Output per hour: Other services S SIC07, % change on Q, SA, UK","Output per hour: Other services S SIC07, % change on Y, SA, UK","Productivity jobs: Production B-E SIC07, 2023=100, SA, UK","Productivity jobs: Production B-E SIC07, % change on Q, SA, UK","Productivity jobs: Production B-E SIC07, % change on Y, SA, UK","Productivity jobs: Manufacturing C SIC07, 2023=100, SA, UK","Productivity jobs: Manufacturing C SIC07, % change on Q, SA, UK","Productivity jobs: Manufacturing C SIC07, % change on Y, SA, UK","Productivity jobs: Services G-T SIC07, 2023=100, SA, UK","Productivity jobs: Services G-T SIC07, % change on Q, SA, UK","Productivity jobs: Services G-T SIC07, % change on Y, SA, UK","Productivity hours: Production B-E SIC07, 2023=100, SA, UK","Productivity hours: Production B-E SIC07, % change on Q, SA, UK","Productivity hours: Production B-E SIC07, % change on Y, SA, UK","Productivity hours: Manufacturing C SIC07, 2023=100, SA, UK","Productivity hours: Manufacturing C SIC07, % change on Q, SA, UK","Productivity hours: Manufacturing C SIC07, % change on Y, SA, UK","Productivity hours: Services G-T SIC07, 2023=100, SA, UK","Productivity hours: Services G-T SIC07, % change on Q, SA, UK","Productivity hours: Services G-T SIC07, % change on Y, SA, UK","Output per Job : Whole Economy : % change quarter on previous quarter SA:UK","Output per Worker: Market Sector SA: Index 2023=100: UK","Output per Worker: Market Sector: % change per annum SA: UK","Output per Worker: Market Sector: % change quarter on previous quarter SA: UK","Output per Hour Worked: Market Sector SA: Index 2023=100: UK","Output per Hour Worked: Market Sector: % change per annum SA: UK","Output per Hour Worked:Market Sector:% change quarter on previous quarter SA: UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, 2023=100, SA, UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, % change on Q, SA, UK","Output per job: Real estate activities L (68 excluding 68.2) SIC07, % change on Y, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, 2023=100, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, % change on Q, SA, UK","Output per hour: Real estate activities L (68 excluding 68.2) SIC07, % change on Y, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, 2023=100, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, % change on Q, SA, UK","Output per job: Services G-T (excluding 68.2) SIC07, % change on Y, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, 2023=100, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, % change on Q, SA, UK","Output per hour: Services G-T (excluding 68.2) SIC07, % change on Y, SA, UK","Productivity jobs. Whole Economy SA: Index 2023=100: UK","Output per Filled Job : Whole Economy SA: Index 2023=100: UK","Productivity jobs: whole economy: % change per annum: SA: UK","Output per filled job: Whole economy: % change per annum SA: UK","UK Whole Economy: Productivity hours SA: Index 2023 = 100","UK Whole Economy: Output per hour worked SA: Index 2023 = 100","UK Whole Economy: Productivity hours % change per annum SA","UK Whole Economy: Output per hour worked % change per annum SA","Productivity Jobs:Whole Economy: % change quarter on previous quarter SA:UK","UK Whole Economy: Output per hour worked % change quarter on previous quarter SA","UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA","Whole Economy index of LFS Employment: SA 2023=100","Ratio of Whole economy jobs to Whole economy workers: SA"
"CDID","A4YM","A4YN","A4YO","DIW8","DIW9","DJ4K","DJ4L","DJ4M","DJ4N","DJ4O","DJ4P","DJ4Q","DJ4R","DJD8","DJE2","DJE6","DJE7","DJE8","DJE9","DJF2","DJF3","DJF4","DJF5","DJF6","DJF7","DJF8","DJF9","DJG5","DJG6","DJG8","DJH7","DJH8","DJH9","DJI2","DJI3","DJI4","DJI5","DJI6","DJI7","DJJ3","DJJ4","DJJ5","DJJ6","DJJ7","DJJ8","DJJ9","DJK2","DJK3","DJK4","DJK5","DJK6","DJK7","DJK8","DJP6","DJP8","DJQ4","DJQ5","DJQ6","DJQ7","DJQ8","DJQ9","DJR2","DJR3","DJR4","DJR5","DJR6","DJR7","DJS3","DJS4","DJS5","DJS9","DJT2","DJT6","DJT7","DJT8","DJT9","DJU2","DJU6","DJU7","DJV6","DJV7","DJV8","DJV9","DJW2","DJW3","DJW6","DJW7","DJW8","DJW9","DJX2","DJX3","DK2G","DK2H","DK2I","DK3S","DK3T","DK3U","DK3V","DK3Y","DK44","DK56","DK57","DK58","DMWR","GYY4","GYY5","GYY6","GYY7","GYY8","GYY9","JNJY","JNJZ","JNK5","JNK8","JNKA","JNKB","JNKC","JNLH","JNSR","JNSS","JNST","JNSU","LNNM","LNNN","LNNO","LNNP","LZVA","LZVB","LZVC","LZVD","TXAJ","TXBB","TXBU","TXEL","TXET"
"PreUnit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Unit","Index, base year = 100","%","%","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","%","Index, base year = 100","%","%","Index, base year = 100","%","%","","","","","","","","","","","","","Index, base year = 100","Index, base year = 100","%","%","Index, base year = 100","Index, base year = 100","%","%","%","%","%","Index, base year = 100",""
"Release Date","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026","17-02-2026"
"Next release","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026","19 May 2026"
"Important Notes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","33.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.3","34.5","","","","","","","","","","72.5","99.5"
"1961","34.3","1.6","","","1.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.1","35.1","1.1","1.7","","","","","","","","73.4","99.4"
"1962","34.5","0.8","","","0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.5","35.4","0.5","0.7","","","","","","","","73.7","99.4"
"1963","36.2","5.0","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7","37.1","0.3","4.9","","","","","","","","73.9","99.4"
